Video title,Views,Average view duration,Ad impressions,Impressions,Impressions click-through rate (%),CPM (USD),RPM (USD),Estimated revenue (USD)
Total:,131703,0:01:05,40230,394930,2.24,1.431,0.242,31.901
How Will the Metaverse Change the Way We Live and Learn?,15355,0:00:18,11269,11108,0.41,0.53,0.214,3.287
Appalachian Spring,4952,0:07:00,0,8757,0.87,,0,0
Steps in the Street,3407,0:02:39,2882,30022,5.13,5.366,2.526,8.607
Ascent,2576,0:00:49,214,10487,2.61,2.379,0.113,0.292
Taking Root,2486,0:00:51,0,6347,2.91,,0,0
Desa Timun (The Cucumber Village),2367,0:00:55,224,2312,6.7,1.188,0.067,0.158
A Sonic Pulse,2249,0:00:51,79,2638,1.1,2.013,0.026,0.059
Leonard and Kevin,2246,0:00:49,45,3862,0.85,3.978,0.047,0.105
Net Zero Speaks with Tschilidzi Marwala,2237,0:00:32,2041,6119,0.65,1.084,0.545,1.219
What Do You Know About Mangroves and Reforestation?,2205,0:00:50,94,4378,0.96,3.468,0.084,0.186
Net Zero Speaks with Paloma Costa,2162,0:00:49,72,1912,1.31,3.583,0.068,0.147
Net Zero Speaks with Omnia El Omrani,2115,0:00:50,73,3183,0.66,3.808,0.076,0.16
Big Data Is Tracking You,2113,0:00:51,89,3545,0.93,3.056,0.074,0.156
Welcome to Planet Classroom!,2106,0:00:50,27,4841,0.81,4.889,0.028,0.06
The Humanitarian Crisis in Yemen,2055,0:00:50,0,430,5.12,,0,0
Hello Frisco,1973,0:00:33,0,11452,0.31,,0,0
Carol,1924,0:00:29,0,9733,0.61,,0.001,0.001
Net Zero Speaks with Thomas Schoos,1918,0:00:26,1721,10789,0.58,0.644,0.318,0.61
My Superpower,1757,0:00:35,15,869,1.84,4.067,0.02,0.035
Myanmar and the Longest Civil War in the World,1728,0:00:34,10,4082,2.67,1,0.003,0.006
Net Zero Speaks with Ridhima Pandey,1725,0:00:38,9,1572,7.19,0.778,0.002,0.004
SHINE,1723,0:00:34,0,3841,2.24,,0,0
What Technologies are Helping to Save Our Oceans?,1670,0:00:27,1,9003,1.17,1,0.001,0.001
Net Zero Speaks with Karen Wang,1642,0:00:34,15,15267,0.88,0.667,0.008,0.013
Net Zero Speaks with Gibson Kawago,1631,0:00:35,1191,3818,1.57,1.715,0.69,1.126
Net Zero Speaks with John Paul Jose,1626,0:00:32,728,9737,0.74,0.922,0.228,0.37
Anything Goes,1625,0:00:25,914,635,4.41,0.188,0.058,0.094
Net Zero Speaks With Tina Grotzer,1506,0:00:46,1061,5268,1.25,4.287,1.663,2.505
Haircuts,1486,0:00:42,1090,3312,1.39,0.715,0.289,0.429
Rabbits Under the Shed,1426,0:00:36,0,6997,1.5,,0,0
Net Zero Speaks with Thomas Minda,1420,0:00:33,1146,3650,1.53,1.236,0.549,0.779
Flowers of Marrakech,1343,0:00:39,1164,1944,1.75,0.735,0.352,0.473
Is this the World's Best New Skyscraper?,1255,0:00:28,0,1574,2.6,,0,0
Sebastiana,1248,0:00:52,1032,2311,0.91,0.704,0.321,0.4
