Video title,Views,Average view duration,Ad impressions,Impressions,Impressions click-through rate (%),CPM (USD),RPM (USD),Estimated revenue (USD)
,573928,0:01:14,72584,2231629,2.5,2.321,0.163,93.237
We Are Rohingya,43033,0:01:30,535,1204324,2.03,1.226,0.008,0.361
How Will the Metaverse Change the Way We Live and Learn?,41820,0:00:18,11269,13112,0.58,0.53,0.079,3.287
Steps in the Street,8086,0:02:32,5274,54263,6.23,5.729,2.079,16.777
Appalachian Spring,6584,0:07:16,0,10809,1.86,,0,0
The Autograph,5924,0:04:01,418,21702,14.28,0.911,0.035,0.21
Apples and Oranges,5488,0:05:13,103,20654,10.47,0.67,0.007,0.038
"Etude in B Minor, No. 10 Op. 25  - Chopin",5124,0:02:00,37,14947,2.25,2.649,0.011,0.054
Net Zero Speaks with Daniel Schrag,5034,0:00:50,120,16092,1.57,16.967,0.224,1.126
A Web Spun Tight with Polarization,4862,0:00:46,23,2546,0.47,2.435,0.011,0.054
The Search for Me,4427,0:00:47,34,268,3.36,6.029,0.031,0.135
Net Zero Speaks With Alexander Leicht,4423,0:00:28,37,18941,0.74,10.838,0.05,0.22
The Promise of Blockchain Technology,4420,0:00:45,39,1973,0.71,1.308,0.005,0.022
38th Parallel,4335,0:00:46,6,2957,0.03,1.167,0.007,0.031
Net Zero Speaks with Kim Cobb,4145,0:00:47,27,4540,0.4,1.63,0.014,0.06
Plant for the Planet,4130,0:02:16,0,952,2.52,,0,0
Net Zero Speaks with Nancy Colleton,4112,0:00:46,27,3785,0.77,3.296,0.015,0.071
Fish Tale,4087,0:03:21,40,2087,0.67,3.025,0.01,0.042
Take a Walk on the Wildside,4030,0:05:12,20,1146,1.13,2.75,0.015,0.061
Net Zero,4019,0:00:23,0,7624,0.93,,0,0
What Are Some of the Coolest Things That Have Been 3D Printed?,3909,0:00:45,15,3495,0.17,2.133,0.01,0.04
Ciclo de Cambio,3779,0:00:46,12,1131,0.62,0.75,0.008,0.03
Net Zero Speaks With Crispin Hemson,3322,0:00:29,23,7579,2.1,4.87,0.019,0.062
Faculty Concert Benjamin Hochman,3148,0:02:28,12,2534,1.3,2.583,0.005,0.017
Net Zero Speaks With Rep. Sam Onuigbo,3040,0:00:31,12,1788,4.14,12.167,0.026,0.08
Net Zero Speaks With Katie Worth,2904,0:01:53,1127,23055,1.7,2.572,0.55,1.598
Prelude to Action,2822,0:02:10,667,13740,6.75,2.294,0.311,0.877
Ascent,2673,0:00:51,221,10579,2.6,2.312,0.116,0.309
Desa Timun (The Cucumber Village),2623,0:01:01,338,2813,8.71,0.97,0.078,0.205
Net Zero Speaks With UnaMay Gordon,2591,0:00:51,35,7155,0.73,13.6,0.101,0.262
Taking Root,2586,0:00:52,0,6417,2.88,,0,0
Net Zero Speaks With Dr. Adrian Fernandez,2578,0:01:58,948,11090,2.79,2.334,0.474,1.221
